time,sp_ACCY,sp_ACCZ,sp_ACCX,sp_Yaw,sp_Pitch,sp_Roll
2020-07-28T09:35:15.373750000Z,0.163596,-0.328553,-0.28861,-69.93045599999999,13.013166,-19.846182
2020-07-28T09:35:15.393916000Z,0.048521999999999996,-0.659998,-0.6671469999999999,-69.777816,13.15667,-19.810758
2020-07-28T09:35:15.414081000Z,0.204031,-0.9988349999999999,-0.754373,-69.53632,13.484744,-19.694523999999998
2020-07-28T09:35:15.434245000Z,0.20391399999999998,-0.9984,-0.499212,-69.328856,14.130526,-19.628562
2020-07-28T09:35:15.454411000Z,0.20879499999999998,-1.513893,-0.694272,-69.178568,15.212667,-19.68122
2020-07-28T09:35:15.474577000Z,1.114825,-0.6337769999999999,-1.087152,-69.120824,17.014053999999998,-19.538187999999998
2020-07-28T09:35:15.494743000Z,0.8481609999999999,-0.756177,-1.03002,-69.13617599999999,19.830099999999998,-18.865104
2020-07-28T09:35:15.514908000Z,0.463078,-1.496322,-0.8615569999999999,-69.14267199999999,23.321876,-18.590794
2020-07-28T09:35:15.535072000Z,-0.0051719999999999995,-1.736554,-0.5289039999999999,-69.25211999999999,26.895764,-19.134182
2020-07-28T09:35:15.555238000Z,-0.015326999999999999,-1.32859,-0.517301,-69.545424,30.151656,-20.381642
2020-07-28T09:35:15.575404000Z,0.149808,-1.054234,-0.558473,-70.05928,32.971772,-21.931912
2020-07-28T09:35:15.595569000Z,1.0140529999999999,-1.0887369999999998,-0.875643,-70.803776,35.59662,-23.296494
2020-07-28T09:35:15.615735000Z,0.22833099999999998,-0.5049319999999999,0.354216,-71.624832,38.194376,-24.425376
2020-07-28T09:35:15.635900000Z,0.7783439999999999,-0.322193,0.41838699999999995,-72.38996,40.699708,-25.581578
2020-07-28T09:35:15.656064000Z,0.890556,-0.217387,0.525554,-73.080584,43.25748,-27.033794
2020-07-28T09:35:15.676229000Z,1.4065919999999998,0.14462899999999998,0.593326,-73.723976,45.91612,-28.970288
2020-07-28T09:35:15.696396000Z,1.315531,0.427872,1.325771,-74.28582399999999,48.528383999999996,-31.298254
2020-07-28T09:35:15.716561000Z,1.238014,0.327949,1.944302,-74.555632,50.887816,-33.963004
2020-07-28T09:35:15.736726000Z,1.211943,-0.247802,2.311755,-74.354024,52.996728,-36.99272
2020-07-28T09:35:15.756891000Z,1.269429,-0.529834,2.412315,-73.483432,54.954024,-40.371224
2020-07-28T09:35:15.777056000Z,1.1160109999999999,-0.024501,1.941222,-72.037656,56.655144,-43.872963999999996
2020-07-28T09:35:15.797221000Z,0.9817929999999999,0.442083,2.1540619999999997,-70.459392,57.918423999999995,-46.977716
2020-07-28T09:35:15.817386000Z,1.016597,0.060593999999999995,2.4457139999999997,-68.80792,58.622271999999995,-49.70986
2020-07-28T09:35:15.837551000Z,1.026402,-0.35944299999999996,1.406326,-66.87422,58.876076,-52.691696
2020-07-28T09:35:15.857718000Z,1.113186,-0.111511,0.912933,-64.529884,58.990708,-55.885839999999995
2020-07-28T09:35:15.877883000Z,1.1127129999999998,0.6276769999999999,0.420738,-61.973484,58.840908,-58.5205
2020-07-28T09:35:15.898048000Z,0.5913619999999999,1.4309209999999999,0.6186889999999999,-59.951,58.216536,-59.885935999999994
2020-07-28T09:35:15.918213000Z,-0.34750899999999996,1.625046,1.08059,-58.352872,56.8861,-60.040932
2020-07-28T09:35:15.938378000Z,0.483724,0.706608,0.296218,-57.043079999999996,54.881304,-59.383404
2020-07-28T09:35:15.958543000Z,0.169727,0.466236,-0.84137,-55.950835999999995,52.751016,-58.324431999999995
2020-07-28T09:35:15.978708000Z,-0.2132,0.586355,-1.511245,-55.377931999999994,51.127435999999996,-56.98822
2020-07-28T09:35:15.998873000Z,-0.34240899999999996,0.717405,-1.612102,-55.432772,49.951392,-55.652324
2020-07-28T09:35:16.019040000Z,-0.689523,0.48167899999999997,-0.9963569999999999,-55.863448,49.061603999999996,-54.487615999999996
2020-07-28T09:35:16.039205000Z,-0.7440439999999999,0.671088,-0.7573799999999999,-56.55752,48.226527999999995,-53.232659999999996
2020-07-28T09:35:16.059370000Z,-0.573921,0.647436,-0.7857719999999999,-57.557976,47.364627999999996,-51.708847999999996
2020-07-28T09:35:16.079535000Z,-0.320144,0.412056,-0.9944299999999999,-58.782984,46.57778,-50.050067999999996
2020-07-28T09:35:16.099700000Z,-0.076315,0.17826799999999998,-0.604082,-60.007707999999994,45.928436,-48.424656
2020-07-28T09:35:16.119866000Z,0.036608999999999996,0.29014999999999996,-0.072406,-61.039192,45.313676,-46.9407
2020-07-28T09:35:16.140031000Z,0.21908799999999998,0.237538,-0.045577,-61.945147999999996,44.641372,-45.542012
2020-07-28T09:35:16.160196000Z,0.255782,0.01958,0.055466999999999995,-62.792508,43.976464,-44.226164
2020-07-28T09:35:16.180362000Z,0.372606,-0.23873599999999998,0.29384699999999997,-63.512516,43.374928,-43.083312
2020-07-28T09:35:16.200527000Z,0.48419799999999996,-0.557811,0.567272,-63.935007999999996,42.858836,-42.208948
2020-07-28T09:35:16.220692000Z,0.42413999999999996,-0.460553,0.250342,-64.085784,42.442139999999995,-41.531383999999996
2020-07-28T09:35:16.240857000Z,0.262264,-0.381272,0.283622,-64.163016,42.136308,-40.997948
2020-07-28T09:35:16.261023000Z,0.09426,-0.199898,0.369085,-64.355668,41.828559999999996,-40.52032
2020-07-28T09:35:16.281188000Z,0.148719,-0.278273,0.28674,-64.63520799999999,41.44406,-39.973448
2020-07-28T09:35:16.301353000Z,0.12355899999999999,-0.261608,0.269106,-64.896196,41.025352,-39.30386
2020-07-28T09:35:16.321518000Z,0.216517,-0.11295799999999999,0.18442699999999998,-65.09832,40.579212,-38.550208
2020-07-28T09:35:16.341684000Z,0.273302,0.023687,0.240026,-65.22629599999999,40.097068,-37.79264
2020-07-28T09:35:16.361849000Z,0.240067,0.10592399999999999,0.26355,-65.306452,39.585372,-37.061084
2020-07-28T09:35:16.382013000Z,0.205651,-0.064141,0.117834,-65.354728,39.106291999999996,-36.427684
2020-07-28T09:35:16.402178000Z,0.141572,-0.220846,0.115545,-65.303292,38.752144,-36.078047999999995
2020-07-28T09:35:16.422344000Z,0.116251,-0.144582,0.08236199999999999,-65.179176,38.536688,-36.046652
2020-07-28T09:35:16.442509000Z,0.101865,-0.049776999999999995,-0.009021,-65.03249199999999,38.425868,-36.28122
